transaction_id,order_id,invoice_no,customer_id,product_id,quantity,unit_price,total_amount,transaction_date,discount_amount,promotion_id
b17a251f-f7bf-41c4-9848-3c18999bd767,982bd511-4b5b-44f9-bd8a-fb5dc1c8a59f,INV00000001,1dfbe10f-a618-48de-b278-822972491510,208353c6-8d11-48ee-8831-7d69d331337b,2,1528.36,3056.72,2025-01-27 00:00:00+00,0.0,
f41563ff-7c78-4aeb-b5ba-00b541d90555,982bd511-4b5b-44f9-bd8a-fb5dc1c8a59f,INV00000002,1dfbe10f-a618-48de-b278-822972491510,974ec143-a955-44a1-889e-df5aa5080991,4,457.1,1828.4,2025-01-27 00:00:00+00,0.0,
5860ddb9-409b-4bc2-8754-d2f8bc588d3e,982bd511-4b5b-44f9-bd8a-fb5dc1c8a59f,INV00000003,1dfbe10f-a618-48de-b278-822972491510,3d056e02-5ce3-469f-b72d-b56272085a20,5,773.7,3868.5,2025-01-27 00:00:00+00,0.0,
7c17ed11-3905-4c68-82f3-db8dab32b3a8,982bd511-4b5b-44f9-bd8a-fb5dc1c8a59f,INV00000004,1dfbe10f-a618-48de-b278-822972491510,7bd1a389-9e93-45cb-86aa-6bf26a1c59d7,4,1625.17,6500.68,2025-01-27 00:00:00+00,0.0,
352562ad-bed6-4ca8-b652-6067afe45234,982bd511-4b5b-44f9-bd8a-fb5dc1c8a59f,INV00000005,1dfbe10f-a618-48de-b278-822972491510,49e993b0-aab7-4e1b-babf-f27ffa6c0b19,1,742.04,742.04,2025-01-27 00:00:00+00,0.0,
a280fa34-27e0-4796-b042-57bf1ecab139,982bd511-4b5b-44f9-bd8a-fb5dc1c8a59f,INV00000006,1dfbe10f-a618-48de-b278-822972491510,a1f2d4ec-8197-4816-ac10-61e220912e43,5,412.49,2062.45,2025-01-27 00:00:00+00,0.0,
d32f675e-0a2b-4820-b29f-4439e7586212,982bd511-4b5b-44f9-bd8a-fb5dc1c8a59f,INV00000007,1dfbe10f-a618-48de-b278-822972491510,bc0ef3b3-ed8a-4868-8280-3427a272f9ca,2,581.2,1162.4,2025-01-27 00:00:00+00,0.0,
65994e3f-ef52-4cee-b846-ae73b465959d,982bd511-4b5b-44f9-bd8a-fb5dc1c8a59f,INV00000008,1dfbe10f-a618-48de-b278-822972491510,760edde4-0962-4642-bfd0-7a4d69065f8b,1,1845.55,1845.55,2025-01-27 00:00:00+00,0.0,
dc745884-08ca-4573-b31a-974200819f8e,982bd511-4b5b-44f9-bd8a-fb5dc1c8a59f,INV00000009,1dfbe10f-a618-48de-b278-822972491510,cf05f0bd-9014-4243-bc30-6060cb1e01ab,4,289.5,1158.0,2025-01-27 00:00:00+00,0.0,
14fc6f5b-b957-4414-ab09-0bae154ebe59,982bd511-4b5b-44f9-bd8a-fb5dc1c8a59f,INV00000010,1dfbe10f-a618-48de-b278-822972491510,2b1ab5f4-3f88-4b4f-8387-b1829bfb0963,1,591.69,591.69,2025-01-27 00:00:00+00,0.0,
f4cf7752-b2f9-4cab-b2af-a67d7010dc0e,a8b83ad4-dc58-4260-addc-e836dd6bc84d,INV00000011,1dfbe10f-a618-48de-b278-822972491510,160c7b29-58b9-4e70-a35b-066161050a34,3,375.92,1127.76,2025-06-19 00:00:00+00,0.0,
d8e19117-8a4d-42ef-9a6c-108debd655aa,a8b83ad4-dc58-4260-addc-e836dd6bc84d,INV00000012,1dfbe10f-a618-48de-b278-822972491510,5380bca4-f4ae-418a-99e6-08cf1d02a3d8,4,555.1,2220.4,2025-06-19 00:00:00+00,0.0,
