promotion_id,product_id,discount_percentage,start_date,end_date,promotion_type,is_targetted_promotion,product_scope,status,created_at,updated_at
8cb01d54-5cb7-44fb-8149-a303f87b6dc3,1ba12ddc-2311-47e4-b777-66d044edd6a5,40,2025-04-14 00:00:00+00,2025-05-14 00:00:00+00,clearance,False,all_customers,active,2025-04-13 00:00:00+00,2025-04-14 00:00:00+00
9cebb5d3-0773-4c22-b4c9-0ccb1cf56a33,28d51a48-8080-4785-be5b-af221c597f0e,20,2024-07-29 00:00:00+00,2024-08-01 00:00:00+00,loyalty_reward,True,new_customers,active,2024-07-28 00:00:00+00,2024-07-29 00:00:00+00
e429976d-38ce-43b4-b216-bb8de81648a5,86c991b8-ee38-4eff-92bd-638dcfe861f1,5,2024-07-25 00:00:00+00,2024-07-28 00:00:00+00,new_customer,True,loyal_customers,active,2024-07-24 00:00:00+00,2024-07-25 00:00:00+00
90b95949-b84d-41ba-8f58-965d8bdefe48,9d6d4043-738b-4bc3-a976-8a3cf695e55b,15,2024-07-27 00:00:00+00,2024-08-26 00:00:00+00,new_customer,True,all_customers,expired,2024-07-26 00:00:00+00,2024-07-27 00:00:00+00
2d7a3130-6e08-4b4a-b27f-c11c87bfe6a5,aba748af-bcc4-495f-a057-bc67075c1732,30,2024-10-04 00:00:00+00,2024-10-11 00:00:00+00,new_customer,False,all_customers,active,2024-10-03 00:00:00+00,2024-10-04 00:00:00+00
e48ad27d-01aa-4e72-8d9a-6d350c108990,b2129d69-c8e1-4a80-aa5d-259ca72e7091,5,2025-05-24 00:00:00+00,2025-05-27 00:00:00+00,flash_sale,True,segment_targeted,active,2025-05-23 00:00:00+00,2025-05-24 00:00:00+00
8da00928-8751-4c55-a1a4-7f7c797486ba,958537c0-47fb-42ef-aaab-444cf0f82cc8,15,2024-11-01 00:00:00+00,2024-11-15 00:00:00+00,bundle_deal,True,segment_targeted,active,2024-10-31 00:00:00+00,2024-11-01 00:00:00+00
e2075f6a-1673-4960-853b-2a7eaa2e5425,a132627e-5ab2-4ff5-af99-2511ac802021,15,2024-07-23 00:00:00+00,2024-07-30 00:00:00+00,category_promotion,True,new_customers,active,2024-07-22 00:00:00+00,2024-07-23 00:00:00+00
7988578c-61c2-465a-8a3f-8f07f6cb37b1,d45e1846-c482-4696-88dd-20a504214a2a,20,2025-09-16 00:00:00+00,2025-09-30 00:00:00+00,category_promotion,True,new_customers,active,2025-09-15 00:00:00+00,2025-09-16 00:00:00+00
085edbac-9ec2-419a-b183-9896f6cbeb99,53c3dece-8139-495f-83f6-55f6033690ce,40,2025-08-26 00:00:00+00,2025-09-25 00:00:00+00,new_customer,False,all_customers,active,2025-08-25 00:00:00+00,2025-08-26 00:00:00+00
