id,sku,name,name_si,description,description_si,category_id,price,stock_quantity,brand,purchase_frequency,image_url,is_active,created_by,created_at,updated_at
cf83b8d6-e582-4f22-8b0a-0c3f74c76b72,SKU000001,Keells Pastries,,Quality Pastries by Keells,,7a017b58-4696-4590-9b0d-1d990f3e3857,398.7,81,Keells,high,,True,,2024-06-27 00:00:00+00,2024-04-18 00:00:00+00
885c9538-87b0-43db-8714-7aaa13b7e250,SKU000002,Unilever Cakes,,Quality Cakes by Unilever,,7a017b58-4696-4590-9b0d-1d990f3e3857,145.3,490,Unilever,high,,True,,2024-03-27 00:00:00+00,2024-01-27 00:00:00+00
8b424158-65b6-4bf6-b9c3-53ee2091f1a2,SKU000003,Raigam Brown Bread,,Quality Brown Bread by Raigam,,7a017b58-4696-4590-9b0d-1d990f3e3857,120.62,433,Raigam,high,,True,,2024-03-29 00:00:00+00,2024-06-03 00:00:00+00
0cda3e76-4359-4619-b894-b43c83eb83c8,SKU000004,Anchor Pastries,,Quality Pastries by Anchor,,7a017b58-4696-4590-9b0d-1d990f3e3857,386.49,274,Anchor,high,,True,,2024-02-01 00:00:00+00,2024-04-06 00:00:00+00
c93b96fd-0f4e-4620-b859-738e7a246d6f,SKU000005,Imported Brown Bread,,Quality Brown Bread by Imported,,7a017b58-4696-4590-9b0d-1d990f3e3857,203.13,321,Imported,high,,True,,2024-06-07 00:00:00+00,2024-04-02 00:00:00+00
efd95b54-4bb8-4864-a0cb-e57b9376b68b,SKU000006,Coca-Cola Muffins,,Quality Muffins by Coca-Cola,,7a017b58-4696-4590-9b0d-1d990f3e3857,375.92,23,Coca-Cola,high,,True,,2024-06-18 00:00:00+00,2024-02-28 00:00:00+00
98439996-98d3-48e7-8bc2-74df049f3b1c,SKU000007,Maliban Pastries,,Quality Pastries by Maliban,,7a017b58-4696-4590-9b0d-1d990f3e3857,439.23,443,Maliban,high,,True,,2024-01-26 00:00:00+00,2024-04-07 00:00:00+00
5b70a689-cd0f-4f31-a2f5-c01e2a70d736,SKU000008,Richlife Pastries,,Quality Pastries by Richlife,,7a017b58-4696-4590-9b0d-1d990f3e3857,346.99,186,Richlife,high,,True,,2024-02-11 00:00:00+00,2024-04-04 00:00:00+00
137aa340-c9ed-4546-adbb-eb878f826272,SKU000009,Coca-Cola Cakes,,Quality Cakes by Coca-Cola,,7a017b58-4696-4590-9b0d-1d990f3e3857,361.47,359,Coca-Cola,high,,True,,2024-06-23 00:00:00+00,2024-06-14 00:00:00+00
57185b3b-cb5d-4561-83a3-30c5d508d0a3,SKU000010,Kotmale Brown Bread,,Quality Brown Bread by Kotmale,,7a017b58-4696-4590-9b0d-1d990f3e3857,304.34,125,Kotmale,high,,True,,2024-02-11 00:00:00+00,2024-04-28 00:00:00+00
