id,order_number,user_id,status,subtotal,discount,tax,total,shipping_address,billing_address,notes,created_at,updated_at
78f7003a-7399-4638-91fc-3116843d5d5f,ORD00000001,f3f13c91-f38b-4237-bb7d-1f00368a241c,delivered,22816.43,0.0,1140.82,23957.25,"Kurunegala, Sri Lanka","Kurunegala, Sri Lanka",,2025-01-27 00:00:00+00,2025-01-27 00:00:00+00
316ed333-fd25-40ee-8210-8057f4273ddd,ORD00000002,f3f13c91-f38b-4237-bb7d-1f00368a241c,delivered,17743.91,0.0,887.2,18631.11,"Kurunegala, Sri Lanka","Kurunegala, Sri Lanka",,2025-06-19 00:00:00+00,2025-06-19 00:00:00+00
a6babdf7-2e8f-4566-886b-f847fc461bdb,ORD00000003,f3f13c91-f38b-4237-bb7d-1f00368a241c,delivered,34263.22,0.0,1713.16,35976.38,"Kurunegala, Sri Lanka","Kurunegala, Sri Lanka",,2025-12-26 00:00:00+00,2025-12-26 00:00:00+00
836ecf92-30a2-4407-8860-df4f393ffdf3,ORD00000004,f3f13c91-f38b-4237-bb7d-1f00368a241c,delivered,10053.27,0.0,502.66,10555.93,"Kurunegala, Sri Lanka","Kurunegala, Sri Lanka",,2024-12-18 00:00:00+00,2024-12-18 00:00:00+00
c57ccbc6-efd4-470f-8192-9e51234af4d1,ORD00000005,f3f13c91-f38b-4237-bb7d-1f00368a241c,pending,2862.99,0.0,143.15,3006.14,"Kurunegala, Sri Lanka","Kurunegala, Sri Lanka",,2025-02-27 00:00:00+00,2025-02-27 00:00:00+00
52ed7c23-5ac1-450e-8135-4416d6a15c9d,ORD00000006,f3f13c91-f38b-4237-bb7d-1f00368a241c,delivered,22088.55,0.0,1104.43,23192.98,"Kurunegala, Sri Lanka","Kurunegala, Sri Lanka",,2024-11-05 00:00:00+00,2024-11-05 00:00:00+00
1d42080f-2b9a-40e0-a438-6f57325d92d2,ORD00000007,f3f13c91-f38b-4237-bb7d-1f00368a241c,processing,10511.92,0.0,525.6,11037.52,"Kurunegala, Sri Lanka","Kurunegala, Sri Lanka",,2024-11-13 00:00:00+00,2024-11-13 00:00:00+00
a7f6bd30-71a4-442c-893a-9dd2970cfde0,ORD00000008,f3f13c91-f38b-4237-bb7d-1f00368a241c,delivered,6297.32,0.0,314.87,6612.19,"Kurunegala, Sri Lanka","Kurunegala, Sri Lanka",,2024-10-21 00:00:00+00,2024-10-21 00:00:00+00
795bbb5f-5cd4-4f39-a834-de39175f1c1a,ORD00000009,f3f13c91-f38b-4237-bb7d-1f00368a241c,delivered,10274.65,0.0,513.73,10788.38,"Kurunegala, Sri Lanka","Kurunegala, Sri Lanka",,2025-10-15 00:00:00+00,2025-10-15 00:00:00+00
08396810-90f8-4cb6-af64-bd41a5940ef1,ORD00000010,257cd9c3-2d76-4306-856f-813781796f36,delivered,29485.62,0.0,1474.28,30959.9,"None, Sri Lanka","None, Sri Lanka",,2025-08-18 00:00:00+00,2025-08-18 00:00:00+00
20e9b568-c988-4c0c-8859-1d277c66b1fe,ORD00000011,257cd9c3-2d76-4306-856f-813781796f36,shipped,9802.4,0.0,490.12,10292.52,"None, Sri Lanka","None, Sri Lanka",,2024-07-25 00:00:00+00,2024-07-25 00:00:00+00
7b9a3f4e-b86f-4dbd-845d-41fbe1cee006,ORD00000012,257cd9c3-2d76-4306-856f-813781796f36,shipped,11251.74,0.0,562.59,11814.33,"None, Sri Lanka","None, Sri Lanka",,2025-09-23 00:00:00+00,2025-09-23 00:00:00+00
8372f227-7ff7-41a1-9a3a-9706b8cf5132,ORD00000013,257cd9c3-2d76-4306-856f-813781796f36,shipped,7509.63,0.0,375.48,7885.11,"None, Sri Lanka","None, Sri Lanka",,2024-10-12 00:00:00+00,2024-10-12 00:00:00+00
1b499891-2d52-4a69-bfac-09b16fb7ffdf,ORD00000014,257cd9c3-2d76-4306-856f-813781796f36,delivered,525.69,0.0,26.28,551.97,"None, Sri Lanka","None, Sri Lanka",,2025-06-29 00:00:00+00,2025-06-29 00:00:00+00
11efe739-54f6-446d-af2c-8aa87586566c,ORD00000015,51961386-536f-4a56-9c0e-c5b00d2e84c0,confirmed,13640.16,0.0,682.01,14322.17,"Gampaha, Sri Lanka","Gampaha, Sri Lanka",,2025-11-03 00:00:00+00,2025-11-03 00:00:00+00
4c526de6-9a50-464e-aa82-692681840550,ORD00000016,e38e2f19-aa1c-4c4e-b8e5-6dd0cde0caf0,shipped,15049.92,0.0,752.5,15802.42,"Trincomalee, Sri Lanka","Trincomalee, Sri Lanka",,2025-05-31 00:00:00+00,2025-05-31 00:00:00+00
fed6a952-977a-4d64-b935-3aa8b0f42548,ORD00000017,e38e2f19-aa1c-4c4e-b8e5-6dd0cde0caf0,shipped,18499.67,57.97,924.98,19366.68,"Trincomalee, Sri Lanka","Trincomalee, Sri Lanka",,2025-07-29 00:00:00+00,2025-07-29 00:00:00+00
741703ca-7866-42c8-9f0f-61ee90e46a60,ORD00000018,e38e2f19-aa1c-4c4e-b8e5-6dd0cde0caf0,delivered,40068.32,0.0,2003.42,42071.74,"Trincomalee, Sri Lanka","Trincomalee, Sri Lanka",,2025-06-16 00:00:00+00,2025-06-16 00:00:00+00
