id,name,name_si,created_at,updated_at
7a017b58-4696-4590-9b0d-1d990f3e3857,Bakery,,2024-06-12 00:00:00+00,2024-01-29 00:00:00+00
7f6d2e22-e1b3-4a2b-8774-07782d4b59fa,Dairy,,2024-01-07 00:00:00+00,2024-03-11 00:00:00+00
db706085-359b-40ca-b298-475bebc22918,Beverages,,2024-03-03 00:00:00+00,2024-02-27 00:00:00+00
56a8ff94-c304-436e-8f7a-8c5195bf7498,Fruits,,2024-02-05 00:00:00+00,2024-01-27 00:00:00+00
028cc8c1-1a51-44d1-b4dd-5dc11dcb3e73,Vegetables,,2024-06-22 00:00:00+00,2024-05-19 00:00:00+00
e3855653-54b6-4f86-8c6c-f605bcd8d5fa,Meat,,2024-01-23 00:00:00+00,2024-05-31 00:00:00+00
c45b4de6-23cd-4a7b-b72a-a8e9323c231a,Snacks,,2024-04-18 00:00:00+00,2024-01-09 00:00:00+00
bc967629-ec82-4ba5-8d01-0dd73203dfcc,Household,,2024-01-08 00:00:00+00,2024-01-24 00:00:00+00
f3ea5720-0ff6-4924-83d6-226a082bb7e8,Rice & Grains,,2024-02-25 00:00:00+00,2024-02-29 00:00:00+00
c5f493de-2fcf-4a45-9365-5386bd519578,Spices,,2024-05-09 00:00:00+00,2024-06-03 00:00:00+00
084b585e-a208-4b5a-a475-0104e2c59c66,Frozen Foods,,2024-01-07 00:00:00+00,2024-05-23 00:00:00+00
c4391593-cb29-4a96-830d-144c4ccd3f5e,Canned Foods,,2024-02-20 00:00:00+00,2024-06-15 00:00:00+00
842a1f28-9fc2-471c-a5d2-f1c73da0911a,Baby Products,,2024-06-28 00:00:00+00,2024-05-19 00:00:00+00
4455107b-d859-4da6-babf-b6c2f9166cbe,Personal Care,,2024-04-17 00:00:00+00,2024-02-26 00:00:00+00
ae2b2f07-4c31-4581-85b9-f42137dbd742,Breakfast Items,,2024-04-24 00:00:00+00,2024-05-30 00:00:00+00
